date,description,amount
2026-06-01,Salary Credit,75000
2026-06-02,UPI-SWIGGY-719176,220
2026-06-02,Petrol Pump,180
2026-06-03,Rent Payment - Landlord,18000
2026-06-05,NETFLIX.COM,649
2026-06-05,Local Cafe,350
2026-06-06,Spotify Subscription,119
2026-06-06,UPI-SWIGGY-198246,180
2026-06-07,Amazon Prime Membership,299
2026-06-07,IRCTC RAIL,340
2026-06-08,Gym Membership Fee,1200
2026-06-09,ZOMATO*ORDER343962,600
2026-06-10,Electricity Board Bill Payment,1727
2026-06-10,UPI-SWIGGY-688508,275
2026-06-10,OLA CABS,120
2026-06-12,Jio Recharge,399
2026-06-15,Udemy Course Purchase,499
2026-06-16,Flipkart Order,1152
2026-06-24,ZOMATO*ORDER850800,310
2026-06-24,BookMyShow PVR Cinemas,367
2026-06-25,Local Cafe,190
2026-06-26,UBER*TRIP2519,410
2026-06-27,Petrol Pump,260
2026-06-28,Local Cafe,260
2026-07-01,Salary Credit,75000
2026-07-03,Rent Payment - Landlord,18000
2026-07-03,Swiggy India Pvt Ltd,220
2026-07-04,Swiggy India Pvt Ltd,350
2026-07-05,NETFLIX.COM,649
2026-07-05,ZOMATO*ORDER838797,180
2026-07-06,Spotify Subscription,119
2026-07-07,Amazon Prime Membership,299
2026-07-07,IRCTC RAIL,180
2026-07-08,Gym Membership Fee,1200
2026-07-10,Electricity Board Bill Payment,1813
2026-07-12,Jio Recharge,399
2026-07-13,OLA CABS,340
2026-07-14,UPI-SWIGGY-148050,600
2026-07-16,ZOMATO*ORDER910620,275
2026-07-16,UBER*TRIP3803,120
2026-07-16,Flipkart Order,1455
2026-07-19,Swiggy India Pvt Ltd,310
2026-07-20,College Exam Fee,2500
2026-07-22,OLA CABS,410
2026-07-22,Restaurant XYZ Fine Dining,2850
2026-07-23,Apollo Pharmacy,462
2026-07-25,ZOMATO*ORDER205907,190
2026-07-25,BookMyShow PVR Cinemas,383
2026-07-26,Local Cafe,260
2026-07-28,Petrol Pump,260
2026-08-01,Salary Credit,75000
2026-08-03,Rent Payment - Landlord,18000
2026-08-03,UPI-SWIGGY-321231,310
2026-08-05,NETFLIX.COM,649
2026-08-06,Spotify Subscription,119
2026-08-06,Petrol Pump,180
2026-08-07,Amazon Prime Membership,299
2026-08-08,Gym Membership Fee,1200
2026-08-09,Swiggy India Pvt Ltd,440
2026-08-09,UBER*TRIP2796,340
2026-08-10,Electricity Board Bill Payment,1831
2026-08-10,Local Cafe,270
2026-08-12,Jio Recharge,399
2026-08-12,Local Cafe,690
2026-08-13,OLA CABS,120
2026-08-14,Swiggy India Pvt Ltd,365
2026-08-14,Petrol Pump,410
2026-08-16,Amazon.in Electronics Purchase,18500
2026-08-18,Petrol Pump,260
2026-08-18,Flipkart Order,1279
2026-08-23,Apollo Pharmacy,478
2026-08-24,BookMyShow PVR Cinemas,520
2026-08-26,ZOMATO*ORDER881177,400
2026-08-27,Swiggy India Pvt Ltd,280
2026-08-29,Local Cafe,350
